nm_name,st_name_clean,st_name,nm_city,st_area,st_road,st_address,st_url,st_score,st_price,st_total_com,st_tag,longitude,latitude
寧夏夜市,寧夏夜市,寧夏夜市-爆漿脆皮魷魚,台北市,大同區,,第89攤 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82-%E7%88%86%E6%BC%BF%E8%84%86%E7%9A%AE%E9%AD%B7%E9%AD%9A/data=!4m7!3m6!1s0x3442a9c2cf6e4aab:0x5e53146c9bbeb952!8m2!3d25.0560564!4d121.5154202!16s%2Fg%2F11sfg7g_1_!19sChIJq0puz8KpQjQRUrm-m2wUU14?authuser=0&hl=zh-TW&rclk=1,4.1,$1-200,606,"小黃瓜,椒鹽,炸魷魚,排隊,豆薯,芥末,粉,水梨,荸薺,尤卡",25.0560564,121.5154202
寧夏夜市,菇之居,菇之居,台北市,大同區,, ,https://www.google.com/maps/place/%E8%8F%87%E4%B9%8B%E5%B1%85/data=!4m7!3m6!1s0x3442a958b457c1ff:0x6c584ab78197deb4!8m2!3d25.0560564!4d121.5154024!16s%2Fg%2F11q3vkfy77!19sChIJ_8FXtFipQjQRtN6XgbdKWGw?authuser=0&hl=zh-TW&rclk=1,4.6,$1-200,51,"炸,金針菇,秀珍菇,週六,qq,玉米筍,香菇,碗,酥脆",25.0560564,121.5154024
寧夏夜市,詹記無骨排骨酥,詹記無骨排骨酥（寧夏夜市）,台北市,大同區,,015 ,https://www.google.com/maps/place/%E8%A9%B9%E8%A8%98%E7%84%A1%E9%AA%A8%E6%8E%92%E9%AA%A8%E9%85%A5%EF%BC%88%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%EF%BC%89/data=!4m7!3m6!1s0x3442a940ad1a5e09:0x64efc3080976ed7d!8m2!3d25.0569552!4d121.515799!16s%2Fg%2F11tjmn8sht!19sChIJCV4arUCpQjQRfe12CQjD72Q?authuser=0&hl=zh-TW&rclk=1,4.3,$1-200,47,"肉,炸,麻辣,價格,湯麵",25.0569552,121.515799
寧夏夜市,林記麻辣臭豆腐,林記麻辣臭豆腐,台北市,大同區,,攤位 ,https://www.google.com/maps/place/%E6%9E%97%E8%A8%98%E9%BA%BB%E8%BE%A3%E8%87%AD%E8%B1%86%E8%85%90/data=!4m7!3m6!1s0x3442a94000aa8d15:0x52753e016c3c5c12!8m2!3d25.0561251!4d121.515451!16s%2Fg%2F11h17hryp!19sChIJFY2qAECpQjQRElw8bAE-dVI?authuser=0&hl=zh-TW&rclk=1,3.9,$1-200,456,"魚乾,鴨血,大腸,豆皮,泡菜,高麗菜,王子麵,麵線,炸臭豆腐,冬粉",25.0561251,121.515451
寧夏夜市,宏冠土魠魚羹,宏冠土魠魚羹,台北市,大同區,, ,https://www.google.com/maps/place/%E5%AE%8F%E5%86%A0%E5%9C%9F%E9%AD%A0%E9%AD%9A%E7%BE%B9/data=!4m7!3m6!1s0x3442a93faaaaaaab:0xe8e52c88a057d997!8m2!3d25.0555386!4d121.5151667!16s%2Fg%2F1tdkph45!19sChIJq6qqqj-pQjQRl9lXoIgs5eg?authuser=0&hl=zh-TW&rclk=1,3.8,$1-200,308,"滷肉飯,湯,炸,醋,寧夏夜市,炒米粉,魚塊,魚卵,勾芡,魚蛋",25.0555386,121.5151667
寧夏夜市,寧夏牛排,寧夏牛排,台北市,大同區,, 攤號103 ** ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x3442a96b234f0329:0x1e7ac7cea182abf!8m2!3d25.0558229!4d121.5152464!16s%2Fg%2F11ggzcjghf!19sChIJKQNPI2upQjQRvyoY6nys5wE?authuser=0&hl=zh-TW&rclk=1,3.9,$1-200,93,"夜市,煎,麵,價格,雙拼,紅茶,環保,美食,吝嗇,杯",25.0558229,121.5152464
寧夏夜市,兩點綠豆沙,兩點綠豆沙,台北市,大同區,,第16攤 ,https://www.google.com/maps/place/%E5%85%A9%E9%BB%9E%E7%B6%A0%E8%B1%86%E6%B2%99/data=!4m7!3m6!1s0x3442a9c9888cde27:0xfffa2de96343a96c!8m2!3d25.0568224!4d121.5154123!16s%2Fg%2F11p028bybh!19sChIJJ96MiMmpQjQRbKlDY-kt-v8?authuser=0&hl=zh-TW&rclk=1,4.4,,50,"價格,牛奶,冰沙,現金,杯,夏天",25.0568224,121.5154123
寧夏夜市,美華現煮海鮮麵,美華現煮海鮮麵,台北市,大同區,,051攤號 ,https://www.google.com/maps/place/%E7%BE%8E%E8%8F%AF%E7%8F%BE%E7%85%AE%E6%B5%B7%E9%AE%AE%E9%BA%B5/data=!4m7!3m6!1s0x3442a99b8ed6c7a1:0xec237f4aaaaa87b4!8m2!3d25.0565858!4d121.5155761!16s%2Fg%2F11n5sdb7hp!19sChIJocfWjpupQjQRtIeqqkp_I-w?authuser=0&hl=zh-TW&rclk=1,4.6,,21,"甜,蛤蜊,小卷,烏龍麵,價格",25.0565858,121.5155761
寧夏夜市,寧夏夜市,寧夏夜市-正港高雄！烤黑輪片,台北市,大同區,, ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82-%E6%AD%A3%E6%B8%AF%E9%AB%98%E9%9B%84%EF%BC%81%E7%83%A4%E9%BB%91%E8%BC%AA%E7%89%87/data=!4m7!3m6!1s0x3442a99463b12d07:0x89e672a36fb26f08!8m2!3d25.056394!4d121.5153051!16s%2Fg%2F11jzsd929p!19sChIJBy2xY5SpQjQRCG-yb6Ny5ok?authuser=0&hl=zh-TW&rclk=1,2.6,,9,醬汁,25.056394,121.5153051
寧夏夜市,魷皇駕到,魷皇駕到,台北市,大同區,, ,https://www.google.com/maps/place/%E9%AD%B7%E7%9A%87%E9%A7%95%E5%88%B0/data=!4m7!3m6!1s0x3442a928946839b7:0x606d527a6b771258!8m2!3d25.0562572!4d121.5153568!16s%2Fg%2F11s5dyp6__!19sChIJtzlolCipQjQRWBJ3a3pSbWA?authuser=0&hl=zh-TW&rclk=1,3.8,$1-200,97,"魷魚,洋蔥,椒鹽,口味,口感,排,孜然,檸檬汁,調味,夜市",25.0562572,121.5153568
